MAKE,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL CONSUMPTION,COEMISSIONS 
ACURA,1.6,4,A4,10.5,216
ACURA,1.6,4,M5,9.8,205
ACURA,3.2,6,AS5,13.7,265
ACURA,3.5,6,A4,15,301
ACURA,1.8,4,A4,11.4,230
ACURA,1.8,4,M5,10.6,219
ACURA,1.8,4,M5,10.8,223
ACURA,3,6,AS4,15.2,306
ACURA,3.2,6,M6,15.4,306
AUDI,1.8,4,A5,12.9,251
AUDI,1.8,4,M5,11.1,223
AUDI,2.8,6,A5,14.6,285
AUDI,2.8,6,M5,13.2,260
AUDI,1.8,4,A5,13.6,267
AUDI,1.8,4,M5,12.1,246
AUDI,2.8,6,A5,14.9,292
AUDI,2.8,6,M5,14.3,288
AUDI,2.8,6,A5,15,294
AUDI,2.8,6,A5,15.4,306
AUDI,2.7,6,A5,15.2,304
AUDI,2.7,6,M6,15.2,304
AUDI,2.8,6,A5,15.4,306
AUDI,2.8,6,M5,14.6,297
AUDI,4.2,8,A5,15.5,308
AUDI,4.2,8,A5,15.5,308
AUDI,2.7,6,A5,15.2,304
AUDI,2.7,6,M6,15.2,304
AUDI,1.8,4,M5,13.1,260
AUDI,1.8,4,M6,13.1,260
AUDI,1.8,4,M5,12.3,246
AUDI,1.8,4,M6,13.1,260
BMW,2.5,6,A5,14.6,292
BMW,2.5,6,M5,13.9,281
BMW,2.5,6,A5,13.8,271
BMW,2.5,6,M5,13,258
BMW,2.5,6,A5,13.8,271
BMW,2.5,6,M5,13,258
BMW,2.8,6,A5,13.9,274
BMW,2.8,6,M5,13,258
BMW,2.8,6,A5,13.9,274
BMW,2.8,6,M5,13,258
BMW,2.8,6,A4,14.6,288
BMW,2.8,6,M5,13,258
BMW,2.8,6,A4,14.6,288
BMW,2.8,6,M5,14.5,285
BMW,4.4,8,A5,14.7,294
BMW,4.4,8,M6,16.4,317
BMW,4.4,8,A5,15.5,320
BMW,4.4,8,A5,15.4,308
BMW,4.4,8,A5,15.4,308
BMW,5.4,12,A5,19.1,373
BMW,3.2,6,M5,13.9,281
BMW,3.2,6,M5,13.9,281
BMW,4.9,8,M6,19.6,375
BMW,4.4,8,A5,14.9,294
BMW,2.5,6,A4,14,278
BMW,2.5,6,M5,13.4,267
BMW,2.8,6,A4,13.9,278
BMW,2.8,6,M5,13.9,278
BMW,4.9,8,M6,19.3,380
BUICK,3.1,6,A4,13.1,255
BUICK,3.8,6,A4,13.8,265
BUICK,3.8,6,A4,14.4,276
BUICK,3.8,6,A4,15.1,290
BUICK,3.8,6,A4,13.5,262
BUICK,3.8,6,A4,15.1,290
CADILLAC,3,6,A4,14.7,294
CADILLAC,4.6,8,A4,15.5,297
CADILLAC,4.6,8,A4,15.5,297
CADILLAC,5.7,8,A4,21.2,430
CADILLAC,4.6,8,A4,15.5,297
CHEVROLET,4.3,6,A4,17,350
CHEVROLET,4.3,6,A4,17.4,359
CHEVROLET,4.3,6,A4,16.2,336
CHEVROLET,4.3,6,A4,17.7,368
CHEVROLET,4.3,6,A4,16.2,336
CHEVROLET,4.3,6,M5,16.3,327
CHEVROLET,4.3,6,A4,16.9,350
CHEVROLET,4.3,6,M5,18.7,386
CHEVROLET,4.3,6,A4,17.7,368
CHEVROLET,4.3,6,M5,18.5,384
CHEVROLET,4.8,8,A4,16.3,334
CHEVROLET,4.8,8,M5,18.9,373
CHEVROLET,5.3,8,A4,16.7,343
CHEVROLET,5.3,8,A4,17.9,373
CHEVROLET,6,8,A4,21.4,435
CHEVROLET,3.8,6,A4,13.9,269
CHEVROLET,3.8,6,M5,13.7,262
CHEVROLET,5.7,8,A4,15.4,306
CHEVROLET,5.7,8,M6,14.7,285
CHEVROLET,2.2,4,A4,11.6,232
CHEVROLET,2.2,4,M5,12.2,235
CHEVROLET,2.4,4,A4,12.5,248
CHEVROLET,2.4,4,M5,12.1,235
CHEVROLET,2.2,4,A3,11.8,242
CHEVROLET,5.7,8,A4,15.5,308
CHEVROLET,5.7,8,M6,14.4,278
CHEVROLET,4.3,6,A4,17.8,368
CHEVROLET,5,8,A4,18.2,373
CHEVROLET,5.7,8,A4,19.3,398
CHEVROLET,4.3,6,A4,18.3,380
CHEVROLET,5,8,A4,18.5,384
CHEVROLET,5.7,8,A4,20.6,426
CHEVROLET,3.4,6,A4,13.6,260
CHEVROLET,3.8,6,A4,13.5,262
CHEVROLET,4.3,6,A4,17,350
CHEVROLET,4.3,6,M5,18.7,386
CHEVROLET,4.8,8,A4,17.3,366
CHEVROLET,4.8,8,M5,20.1,405
CHEVROLET,5.3,8,A4,18,377
CHEVROLET,5.7,8,A4,21.1,430
CHEVROLET,3.4,6,A4,13.6,260
CHEVROLET,3.8,6,A4,13.5,262
CHEVROLET,3.1,6,A4,13.1,255
CHEVROLET,1,3,M5,7.1,147
CHEVROLET,1.3,4,A3,9.1,191
CHEVROLET,1.3,4,M5,7.6,156
CHEVROLET,5.3,8,A4,18.9,391
CHEVROLET,4.8,8,A4,18.7,391
CHEVROLET,5.3,8,A4,18.9,391
CHEVROLET,4.8,8,A4,18.7,391
CHEVROLET,5.3,8,A4,18.9,391
CHEVROLET,2.2,4,A4,13.8,278
CHEVROLET,2.2,4,M5,12.2,246
CHEVROLET,4.3,6,A4,15.4,313
CHEVROLET,4.3,6,M5,16.1,322
CHEVROLET,4.3,6,A4,16.8,345
CHEVROLET,4.3,6,M5,16.3,329
CHEVROLET,2,4,A4,11.7,251
CHEVROLET,2,4,M5,11.9,255
CHEVROLET,1.6,4,M5,10.5,228
CHEVROLET,2,4,A4,11.7,251
CHEVROLET,2,4,M5,11.9,255
CHEVROLET,3.4,6,A4,14,281
CHRYSLER,3.5,6,AS4,14.4,283
CHRYSLER,2.4,4,A4,13.4,265
CHRYSLER,2.5,6,A4,13.6,269
CHRYSLER,2.7,6,A4,13.2,260
CHRYSLER,3.2,6,A4,14.2,276
CHRYSLER,2.7,6,A4,13.2,260
CHRYSLER,2.7,6,AS4,13.2,258
CHRYSLER,3.2,6,AS4,14.2,274
CHRYSLER,3.5,6,AS4,14.4,283
CHRYSLER,3.5,6,A4,14.7,288
CHRYSLER,2,4,A3,10.9,223
CHRYSLER,2,4,M5,9.6,198
CHRYSLER,2.4,4,A4,13.4,276
CHRYSLER,2.4,4,M5,13.2,269
CHRYSLER,2.5,6,A4,13.5,267
CHRYSLER,2.5,6,A4,13.6,269
CHRYSLER,2.5,6,AS4,14.7,288
CHRYSLER,3.8,6,A4,15.2,304
CHRYSLER,3.8,6,A4,16.2,320
DAEWOO,1.5,4,A4,11.3,216
DAEWOO,1.5,4,M5,10.3,205
DAEWOO,1.6,4,A4,11.6,225
DAEWOO,1.6,4,M5,10.4,207
DAEWOO,2.2,4,A4,13.4,265
DAEWOO,2.2,4,M5,13.1,258
DAEWOO,2,4,A4,12,239
DAEWOO,2,4,M5,11.9,237
DAEWOO,2,4,A4,12,239
DAEWOO,2,4,M5,11.9,237
DODGE,3,6,A4,14.6,290
DODGE,3.3,6,A4,14.5,288
DODGE,3.8,6,A4,15.2,304
DODGE,3.3,6,A4,14.5,288
DODGE,3.3,6,A4,20.6,283
DODGE,3.9,6,A4,16.3,331
DODGE,3.9,6,M5,16.8,329
DODGE,4.7,8,A4,17.6,357
DODGE,4.7,8,M5,18.3,363
DODGE,5.9,8,A4,20.8,423
DODGE,3.9,6,A4,18.1,375
DODGE,3.9,6,M5,19.1,386
DODGE,4.7,8,A4,18.3,370
DODGE,4.7,8,M5,18.8,382
DODGE,5.9,8,A4,22.3,444
DODGE,4.7,8,A4,19.3,389
DODGE,5.9,8,A4,22.3,444
DODGE,5.9,8,A4,22.3,444
DODGE,3,6,A4,14.6,290
DODGE,3.3,6,A4,14.5,288
DODGE,3.8,6,A4,15.2,304
DODGE,3.8,6,AS4,15.5,308
DODGE,3.8,6,A4,16.2,320
DODGE,3.8,6,AS4,16.4,324
DODGE,3.3,6,A4,14.5,288
DODGE,3.3,6,A4,20.6,283
DODGE,3.9,6,A4,17.3,350
DODGE,3.9,6,M5,17.4,345
DODGE,5.2,8,A4,20,396
DODGE,5.2,8,M5,20.2,396
DODGE,5.9,8,A4,21.5,416
DODGE,5.2,8,A4,21.6,435
DODGE,5.2,8,M5,22.1,437
DODGE,5.9,8,A4,21.6,426
DODGE,3.9,6,A3,17.6,377
DODGE,5.2,8,A4,19.6,386
DODGE,5.9,8,A4,20.8,423
DODGE,3.9,6,A3,18.3,393
DODGE,5.2,8,A4,20,393
DODGE,5.2,8,A4,20,393
DODGE,5.9,8,A4,21.5,416
DODGE,5.2,8,A4,20.8,353
DODGE,5.2,8,A4,21.8,444
DODGE,5.9,8,A4,21.8,423
DODGE,8,10,M6,21.4,396
DODGE,8,10,M6,21.4,396
FERRARI,3.6,8,AS6,24.6,474
FERRARI,3.6,8,M6,24.1,472
FERRARI,5.5,12,A4,26.7,513
FERRARI,5.5,12,M6,26.3,495
FERRARI,5.5,12,A4,26.7,513
FERRARI,5.5,12,M6,26.3,495
FERRARI,5.5,12,M6,30.2,582
FORD,2,4,M5,11.1,219
FORD,2.5,6,A4,13.1,260
FORD,2.5,6,M5,13.3,260
FORD,4.6,8,A4,15.1,299
FORD,4.2,6,A4,19.1,393
FORD,4.6,8,A4,18.8,382
FORD,5.4,8,A4,19.9,403
FORD,4.2,6,A4,19,389
FORD,4.6,8,A4,17.8,359
FORD,5.4,8,A4,17.9,363
FORD,4.2,6,A4,19.1,391
FORD,5.4,8,A4,20.2,403
FORD,2,4,A4,10.6,216
FORD,2,4,M5,10.6,216
FORD,4.6,8,A4,17.8,359
FORD,5.4,8,A4,20.2,403
FORD,4.6,8,A4,19.3,391
FORD,5.4,8,A4,21.1,426
FORD,4,6,M5,14.9,304
FORD,5,8,A4,18.4,368
FORD,4,6,M5,16.4,336
FORD,5,8,A4,18.7,373
FORD,4,6,A5,17.1,357
FORD,4,6,A5,17.3,352
FORD,4,6,A5,16.5,336
FORD,4,6,A5,16.7,343
FORD,4.2,6,A4,16.7,340
FORD,4.2,6,M5,16.3,334
FORD,4.6,8,A4,17,345
FORD,4.6,8,M5,17.8,354
FORD,5.4,8,A4,17.9,363
FORD,4.2,6,A4,17.3,359
FORD,4.2,6,M5,18,373
FORD,4.6,8,A4,18.5,380
FORD,4.6,8,M5,18.8,380
FORD,5.4,8,A4,20.7,423
FORD,2,4,A4,10.8,221
FORD,2,4,M5,10.8,216
FORD,2,4,A4,10.6,219
FORD,2,4,M5,10.9,216
FORD,4.6,8,A4,15,297
FORD,3.8,6,A4,13.4,267
FORD,3.8,6,M5,13.6,267
FORD,4.6,8,A4,15.1,301
FORD,4.6,8,M5,15.4,304
FORD,4.6,8,M5,15.7,308
FORD,3,6,A4,15.7,315
FORD,3,6,M5,16.2,322
FORD,4,6,A5,17,354
FORD,4,6,M5,14.9,306
FORD,3,6,A4,16.4,336
FORD,3,6,M5,15.5,320
FORD,4,6,A5,17.3,357
FORD,4,6,M5,16.5,340
FORD,3,6,A4,13.6,267
FORD,3,6,A4,13.5,265
FORD,3,6,A4,14.2,278
FORD,3,6,A4,14,276
FORD,3,6,A4,15.6,311
FORD,3.8,6,A4,14.9,304
FORD,3,6,A4,15.6,311
FORD,3.8,6,A4,15.5,311
GMC,4.3,6,A4,17.7,368
GMC,4.3,6,M5,18.5,384
GMC,4.8,8,A4,16.3,334
GMC,4.8,8,M5,18.9,373
GMC,5.3,8,A4,16.7,343
GMC,4.8,8,A4,18.7,391
GMC,5.3,8,A4,18.9,391
GMC,5.3,8,A4,18.9,391
GMC,5.3,8,A4,17.9,373
GMC,6,8,A4,21.4,435
GMC,4.3,6,A4,17.8,368
GMC,5,8,A4,18.2,373
GMC,5.7,8,A4,19.1,396
GMC,4.3,6,A4,18.3,380
GMC,5,8,A4,18.3,377
GMC,5.7,8,A4,20.6,426
GMC,4.3,6,A4,16.2,336
GMC,4.3,6,M5,16.3,327
GMC,4.3,6,A4,17,350
GMC,4.3,6,M5,18.7,386
GMC,4.3,6,A4,17,350
GMC,4.3,6,M5,18.7,386
GMC,4.8,8,A4,17.3,366
GMC,4.8,8,M5,20.2,407
GMC,5.3,8,A4,18,377
GMC,4.8,8,A4,18.7,391
GMC,5.3,8,A4,18.9,391
GMC,5.7,8,A4,21.2,430
GMC,4.3,6,A4,16.2,336
GMC,4.3,6,A4,17,350
GMC,4.3,6,A4,17.7,368
GMC,4.3,6,A4,17.4,359
GMC,2.2,4,A4,13.8,278
GMC,2.2,4,M5,12.2,246
GMC,4.3,6,A4,15.4,313
GMC,4.3,6,M5,16.2,322
GMC,4.3,6,A4,16.8,345
GMC,4.3,6,M5,16.3,329
HONDA,3,6,A4,13,260
HONDA,2.3,4,A4,12.2,246
HONDA,2.3,4,M5,11.5,235
HONDA,2.3,4,A4,11.8,237
HONDA,2.3,4,M5,10.8,221
HONDA,1.6,4,A4,10.5,216
HONDA,1.6,4,M5,9.8,205
HONDA,1.6,4,M5,10.9,223
HONDA,1.6,4,A4,10,202
HONDA,1.6,4,M5,8.8,184
HONDA,2,4,A4,12.5,267
HONDA,2,4,M5,12.5,267
HONDA,1,3,M5,4.9,104
HONDA,3.5,6,A4,14.9,292
HONDA,2.2,4,AS4,12.7,260
HONDA,2.2,4,M5,12,251
HONDA,2,4,M6,13.1,269
HYUNDAI,1.5,4,A4,10.5,209
HYUNDAI,1.5,4,M5,9.7,198
HYUNDAI,2,4,A4,12.2,242
HYUNDAI,2,4,M5,11.3,223
HYUNDAI,2,4,A4,12.5,248
HYUNDAI,2,4,M5,11.4,228
HYUNDAI,2.4,4,A4,13,260
HYUNDAI,2.5,6,A4,13.2,262
HYUNDAI,2,4,A4,12.2,244
HYUNDAI,2,4,M5,11.4,228
INFINITI,2,4,A4,11.6,235
INFINITI,2,4,M5,11.4,230
INFINITI,3,6,A4,13.4,265
INFINITI,3.3,6,A4,17.7,366
ISUZU,2.2,4,A4,13.8,278
ISUZU,2.2,4,M5,12.2,246
ISUZU,4.3,6,A4,15.4,313
ISUZU,4.3,6,A4,16.8,345
ISUZU,3.2,6,A4,16.6,340
ISUZU,3.2,6,M5,16.8,347
ISUZU,3.5,6,A4,17.8,366
ISUZU,3.5,6,M5,17.9,368
JAGUAR,3,6,A5,14.8,290
JAGUAR,4,8,A5,15.3,308
JAGUAR,4,8,A5,15.5,306
JAGUAR,4,8,A5,16.6,331
JAGUAR,4,8,A5,15.5,306
JAGUAR,4,8,A5,16.5,331
JAGUAR,4,8,A5,15.4,304
JAGUAR,4,8,A5,15.5,306
JAGUAR,4,8,A5,15.7,313
JAGUAR,4,8,A5,16.3,324
JEEP,4,6,A4,16.6,338
JEEP,4,6,M5,15.4,317
JEEP,4,6,A4,16.5,336
JEEP,4.7,8,A4,18,363
JEEP,2.5,4,A3,16.6,357
JEEP,2.5,4,M5,14.7,315
JEEP,4,6,A3,17.3,368
JEEP,4,6,M5,16.7,347
KIA,1.8,4,A4,11.7,235
KIA,1.8,4,M5,11.2,237
KIA,2,4,A4,13.4,294
KIA,2,4,M5,12.8,288
LAND ROVER,4,8,A4,19.6,403
LAND ROVER,4,8,A4,19.6,403
LAND ROVER,4,8,A4,19.6,403
LAND ROVER,4.6,8,A4,22.1,458
LEXUS,3,6,A4,13.8,276
LEXUS,3,6,A5,13.7,281
LEXUS,4,8,A5,15,299
LEXUS,4,8,A5,14.3,285
LEXUS,4.7,8,A4,19.4,405
LEXUS,3,6,A4,14.2,292
LEXUS,3,6,A4,14.4,299
LINCOLN,4.6,8,A4,15.2,297
LINCOLN,3,6,A5,15.4,304
LINCOLN,3,6,M5,15.5,304
LINCOLN,3.9,8,A5,15.9,313
LINCOLN,5.4,8,A4,21.4,430
LINCOLN,4.6,8,A4,15.3,304
MAZDA,2,4,A4,12.7,258
MAZDA,2,4,M5,10.6,219
MAZDA,2.5,6,A4,13.7,278
MAZDA,2.5,6,M5,13.3,271
MAZDA,3,6,A4,15.6,313
MAZDA,3,6,M5,16.2,322
MAZDA,4,6,A5,17.1,357
MAZDA,4,6,M5,15.5,320
MAZDA,4,6,A5,17.2,354
MAZDA,4,6,M5,16.5,343
MAZDA,2.5,6,A4,13.8,276
MAZDA,2.3,6,A4,13.7,271
MAZDA,2.5,6,A4,15.2,313
MAZDA,1.8,4,A4,11.9,244
MAZDA,1.8,4,M5,11.1,230
MAZDA,1.8,4,M6,11.5,239
MAZDA,1.6,4,A4,10.6,221
MAZDA,1.6,4,M5,9.8,207
MAZDA,1.8,4,A4,11.2,230
MAZDA,1.8,4,M5,10.2,212
MERCEDES-BENZ,2.3,4,A5,12.5,251
MERCEDES-BENZ,2.8,6,A5,12.7,258
MERCEDES-BENZ,4.3,8,A5,14.7,304
MERCEDES-BENZ,3.2,6,A5,12.9,255
MERCEDES-BENZ,3.2,6,A5,13.6,269
MERCEDES-BENZ,4.3,8,A5,14.4,290
MERCEDES-BENZ,4.3,8,A5,15.2,304
MERCEDES-BENZ,3.2,6,A5,12.9,253
MERCEDES-BENZ,3.2,6,A5,13.1,262
MERCEDES-BENZ,3.2,6,A5,13.5,274
MERCEDES-BENZ,3.2,6,A5,13.2,267
MERCEDES-BENZ,4.3,8,A5,14.6,292
MERCEDES-BENZ,4.3,8,A5,15.1,306
MERCEDES-BENZ,5.5,8,A5,16,317
MERCEDES-BENZ,3.2,6,A5,16.1,336
MERCEDES-BENZ,4.3,8,A5,17,354
MERCEDES-BENZ,4.3,8,A5,15.3,304
MERCEDES-BENZ,5,8,A5,16.1,320
MERCEDES-BENZ,5,8,A5,16.3,322
MERCEDES-BENZ,6,12,A5,20.1,393
MERCEDES-BENZ,2.3,4,A5,12,242
MERCEDES-BENZ,2.3,4,M5,12.6,246
NISSAN,2.4,4,A4,12.8,258
NISSAN,2.4,4,M5,11.6,235
NISSAN,2.4,4,A4,13.5,283
NISSAN,2.4,4,M5,12.1,255
NISSAN,2.4,4,M5,14.9,313
NISSAN,3.3,6,A4,16.8,350
NISSAN,3.3,6,M5,16.1,345
NISSAN,3.3,6,A4,17.3,361
NISSAN,3.3,6,M5,16.2,350
NISSAN,3,6,A4,13.4,265
NISSAN,3,6,M5,12.3,253
NISSAN,3.3,6,A4,17.3,361
NISSAN,3.3,6,M5,16.5,357
NISSAN,3.3,6,A4,15.5,306
NISSAN,2.4,4,M5,14.2,292
NISSAN,3.3,6,A4,16.5,343
NISSAN,3.3,6,M5,15.9,338
NISSAN,3.3,6,A4,17.3,361
NISSAN,3.3,6,M5,16.2,350
OLDSMOBILE,2.4,4,A4,12.1,242
OLDSMOBILE,2.4,4,M5,12.5,244
OLDSMOBILE,3.4,6,A4,13.6,262
OLDSMOBILE,3.5,6,A4,14.7,283
OLDSMOBILE,3.4,6,A4,14,281
PLYMOUTH,3.5,6,AS4,15.4,308
PONTIAC,3.8,6,A4,14.4,276
PONTIAC,3.8,6,A4,15.1,290
PONTIAC,3.8,6,A4,13.9,269
PONTIAC,3.8,6,M5,13.8,265
PONTIAC,5.7,8,A4,14.9,299
PONTIAC,5.7,8,M6,14.9,290
PONTIAC,1,3,M5,7.1,147
PONTIAC,1.3,4,A3,9.1,191
PONTIAC,1.3,4,M5,7.6,156
PONTIAC,2.4,4,A4,12.1,242
PONTIAC,2.4,4,M5,12.5,244
PONTIAC,3.4,6,A4,13.6,262
PONTIAC,3.1,6,A4,13.1,255
PONTIAC,3.8,6,A4,13.5,262
PONTIAC,3.8,6,A4,15,288
PONTIAC,3.4,6,A4,14,281
PONTIAC,2.2,4,A3,11.8,242
PONTIAC,2.2,4,A4,11.6,232
PONTIAC,2.2,4,M5,12.2,235
PONTIAC,2.4,4,A4,12.5,248
PONTIAC,2.4,4,M5,12.1,235
PORSCHE,3.4,6,AS5,16,308
PORSCHE,3.4,6,M6,15.4,301
PORSCHE,3.4,6,AS5,16,313
PORSCHE,3.4,6,M6,15.7,311
PORSCHE,2.7,6,AS5,15.3,301
PORSCHE,2.7,6,M5,15,297
PORSCHE,3.2,6,AS5,15.9,311
PORSCHE,3.2,6,M6,15,294
SAAB,2,4,A4,13.4,274
SAAB,2,4,M5,12.9,255
SAAB,2.3,4,M5,13.1,258
SAAB,2.3,4,A4,13.9,276
SAAB,2.3,4,M5,13.2,260
SAAB,3,6,A4,14.3,283
SAAB,2.3,4,A4,13.9,276
SAAB,2.3,4,M5,13.2,260
SAAB,3,6,A4,14.3,283
SATURN,2.2,4,A4,11.9,239
SATURN,2.2,4,M5,12.2,235
SATURN,3,6,A4,13.3,269
SATURN,2.2,4,A4,12.1,244
SATURN,3,6,A4,13.3,269
SATURN,1.9,4,A4,10.1,200
SATURN,1.9,4,M5,9.8,191
SATURN,1.9,4,A4,10.6,207
SATURN,1.9,4,M5,10.3,202
SATURN,1.9,4,A4,10.1,198
SATURN,1.9,4,M5,9.3,184
SATURN,1.9,4,A4,10.6,207
SATURN,1.9,4,M5,10.3,202
SATURN,1.9,4,A4,10.6,207
SATURN,1.9,4,M5,10.3,202
SUBARU,2.5,4,A4,12.2,246
SUBARU,2.5,4,M5,12.5,248
SUBARU,2.2,4,A4,11.7,239
SUBARU,2.2,4,M5,11.8,242
SUBARU,2.5,4,A4,11.8,244
SUBARU,2.5,4,M5,12.8,258
SUBARU,2.2,4,A4,11.7,239
SUBARU,2.2,4,M5,11.8,242
SUBARU,2.5,4,A4,12.2,253
SUBARU,2.5,4,M5,12.5,253
SUBARU,2.5,4,A4,12.2,255
SUBARU,2.5,4,M5,12.5,253
SUZUKI,1.6,4,A4,9.9,205
SUZUKI,1.6,4,M5,8.8,182
SUZUKI,1.8,4,A4,10.3,209
SUZUKI,1.8,4,M5,9.6,196
SUZUKI,2.5,6,A4,14.2,304
SUZUKI,2.5,6,M5,13.8,294
SUZUKI,1.3,4,A3,9.1,191
SUZUKI,1.3,4,M5,7.6,156
SUZUKI,2,4,A4,11.7,251
SUZUKI,2,4,M5,11.8,253
SUZUKI,1.6,4,M5,10.5,228
SUZUKI,2,4,A4,11.7,253
SUZUKI,2,4,M5,11.8,255
TOYOTA,2.7,4,A4,14.2,301
TOYOTA,2.7,4,M5,15.4,320
TOYOTA,3.4,6,A4,15.7,334
TOYOTA,3.4,6,M5,15.7,331
TOYOTA,3,6,A4,12.7,251
TOYOTA,2.2,4,A4,11.8,239
TOYOTA,2.2,4,M5,11.4,228
TOYOTA,3,6,A4,13.4,267
TOYOTA,2.2,4,A4,11.8,239
TOYOTA,3,6,A4,13.4,267
TOYOTA,3,6,M5,12.7,253
TOYOTA,3,6,A4,14,278
TOYOTA,1.8,4,A4,10.1,205
TOYOTA,1.8,4,AS4,11.6,237
TOYOTA,1.8,4,M5,10,209
TOYOTA,1.8,4,M6,11.6,230
TOYOTA,1.8,4,A4,9.3,189
TOYOTA,1.8,4,M5,8.7,179
TOYOTA,1.5,4,A4,8.6,179
TOYOTA,1.5,4,M5,8.2,173
TOYOTA,2,4,A4,11.3,235
TOYOTA,2,4,M5,11.2,232
TOYOTA,2,4,A4,12.2,258
TOYOTA,2,4,M5,12.1,258
TOYOTA,2,4,A4,11.3,235
TOYOTA,2,4,M5,11.2,232
TOYOTA,2,4,A4,11.8,251
TOYOTA,2,4,M5,11.9,253
TOYOTA,3,6,A4,14.3,288
TOYOTA,2.4,4,A4,12.6,267
TOYOTA,2.4,4,M5,12.2,253
TOYOTA,2.7,4,A4,14,301
TOYOTA,3.4,6,A4,15.3,324
TOYOTA,2.7,4,A4,14.2,301
TOYOTA,2.7,4,M5,15.7,329
TOYOTA,3.4,6,A4,15.2,324
TOYOTA,3.4,6,M5,15.7,331
TOYOTA,3.4,6,A4,15.7,331
TOYOTA,3.4,6,M5,16,336
TOYOTA,4.7,8,A4,17.3,363
TOYOTA,3.4,6,A4,17.2,368
TOYOTA,3.4,6,M5,17.1,363
TOYOTA,4.7,8,A4,18.2,382
VOLKSWAGEN,2,4,A4,12.6,253
VOLKSWAGEN,2,4,M5,11.2,230
VOLKSWAGEN,2.8,6,A4,17.6,357
VOLKSWAGEN,2.8,6,A4,18.6,375
VOLKSWAGEN,1.8,4,A4,12.1,248
VOLKSWAGEN,1.8,4,M5,11.1,225
VOLKSWAGEN,2,4,A4,11.9,244
VOLKSWAGEN,2,4,M5,11.2,228
VOLKSWAGEN,1.9,4,A4,8.1,192
VOLKSWAGEN,1.9,4,M5,6.7,165
VOLKSWAGEN,1.8,4,M5,11.1,225
VOLKSWAGEN,2,4,A4,11.9,244
VOLKSWAGEN,2,4,M5,11.2,228
VOLKSWAGEN,2.8,6,M5,13.2,260
VOLKSWAGEN,1.8,4,A4,12.1,248
VOLKSWAGEN,1.8,4,M5,11.1,225
VOLKSWAGEN,2,4,A4,11.9,244
VOLKSWAGEN,2,4,M5,11.2,228
VOLKSWAGEN,2.8,6,A4,14.2,283
VOLKSWAGEN,2.8,6,M5,13.6,267
VOLKSWAGEN,1.9,4,A4,8.1,192
VOLKSWAGEN,1.9,4,M5,6.7,165
VOLKSWAGEN,1.8,4,A4,11.9,248
VOLKSWAGEN,1.8,4,M5,10.6,223
VOLKSWAGEN,2,4,A4,11.9,244
VOLKSWAGEN,2,4,M5,11.2,228
VOLKSWAGEN,1.9,4,A4,8.1,192
VOLKSWAGEN,1.9,4,M5,6.7,165
VOLKSWAGEN,1.8,4,A5,13.2,258
VOLKSWAGEN,1.8,4,M5,11.2,225
VOLKSWAGEN,2.8,6,A5,14.7,288
VOLKSWAGEN,2.8,6,M5,13.4,262
VOLKSWAGEN,1.8,4,A5,13.2,258
VOLKSWAGEN,1.8,4,M5,11.2,225
VOLKSWAGEN,2.8,6,A5,14.7,288
VOLKSWAGEN,2.8,6,M5,13.4,262
VOLVO,2.3,5,A4,14.2,285
VOLVO,2.3,5,M5,13.4,269
VOLVO,2.4,5,A4,13.9,278
VOLVO,2.3,5,A4,13.9,274
VOLVO,2.3,5,M5,13,260
VOLVO,2.4,5,A4,13.6,274
VOLVO,2.4,5,A5,13.2,262
VOLVO,2.4,5,M5,12.6,251
VOLVO,2.4,5,A4,14.4,288
VOLVO,2.4,5,A4,13.6,274
VOLVO,2.3,5,A4,13.9,274
VOLVO,2.3,5,M5,13,260
VOLVO,2.9,6,A4,14.5,285
VOLVO,2.8,6,AS4,15.1,297
VOLVO,2.4,5,A5,13.2,262
VOLVO,2.4,5,M5,12.6,251
VOLVO,2.4,5,A4,14.4,288
VOLVO,2.4,5,A4,13.6,274
VOLVO,2.3,5,A4,13.9,274
VOLVO,2.3,5,M5,13,260
VOLVO,2.4,5,A5,14.7,299
